Jahr    Sonnenflecken
1770	70.70
1771	78.61
1772	69.78
1773	45.43
1774	35.33
1775	15.50
1776	18.65
1777	69.99
1778	128.80
1779	126.14
1780	97.34
1781	76.80
1782	49.64
1783	30.99
1784	16.30
1785	21.69
1786	64.61
1787	111.78
1788	125.23
1789	120.17
1790	99.05
1791	76.62
1792	64.98
1793	52.40
1794	44.42
1795	28.03
1796	19.61
1797	10.08
1798	5.82
1799	6.65
1800	11.79
1801	27.34
1802	39.70
1803	42.01
1804	46.20
1805	43.26
1806	32.58
1807	16.77
1808	10.63
1809	4.59
1810	1.38
1811	1.11
1812	3.83
1813	9.55
1814	12.67
1815	28.30
1816	40.69
1817	40.91
1818	33.27
1819	26.78
1820	19.23
1821	10.67
1822	6.00
1823	3.20
1824	6.56
1825	13.87
1826	29.36
1827	43.81
1828	56.54
1829	63.86
1830	68.86
1831	54.26
1832	35.88
1833	16.36
1834	14.01
1835	44.10
1836	98.63
1837	126.19
1838	109.96
1839	93.19
1840	72.06
1841	47.52
1842	31.06
1843	17.02
1844	15.60
1845	32.68
1846	53.20
1847	84.56
1848	112.17
1849	100.85
1850	76.46
1851	67.74
1852	58.12
1853	44.74
1854	28.12
1855	13.34
1856	6.80
1857	18.14
1858	43.94
1859	78.98
1860	90.89
1861	81.17
1862	65.65
1863	50.50
1864	48.05
1865	35.41
1866	21.82
1867	11.45
1868	29.33
1869	60.60
